Marca temporal,¿Qué carrera(s) de la UTCH BIS cursas actualmente?,¿Con qúe frecuencia los maestros te entregan material de estudio complementario?,¿Qué tipo de material usan los maestros con mayor frecuencia?,¿Qué tan útiles o insuficientes consideras los materiales de estudio comerciales/institucionales usados por los maestros?,En tu experiencia ¿En qué habilidad se presentas mayor dificultad durante las clases de ingles?,En tu experiencia ¿El uso de presentaciones visuales facilita el entendimiento de los temas si te pierdes durante la clase?,¿Qué material complementario puede ayudarte a retener más información?,¿Consideras que contar con cuadernillos de actividades adicionales y organizadas por tema te ayudaría a reforzar los contenidos que se te dificultan? ,¿Consideras que no contar con materiales de aprendizaje adaptados a tu nivel de inglés afecta tu rendimiento o motivación en la clase? ,"Si se desarrollara un paquete de material de estudio  adaptado a tu nivel de inglés, ¿estarías dispuesto(a) a utilizarlo como apoyo para mejorar tu aprendizaje? "
7/7/2026 12:14:17,Educación,Rara vez,Cuestionarios,Útil,"Grammar, Speaking",De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:14:44,Educación,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,Listening,"Si, es un buen apoyo durante la clase",Infografías y esquemas visuales,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:14:51,Educación,Nunca,Cuestionarios,Neutral,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:16:36,Educación,Casi siempre,"Presentaciones (power point, canva, etc)",Muy útil,"Grammar, Listening",De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:20:10,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening",De vez en cuando me resultan utiles,Infografías y esquemas visuales,De acuerdo,No noto la diferencia.,"Sí, totalmente dispuesto"
7/7/2026 12:21:21,Desarrollo de Software,Nunca,"Presentaciones (power point, canva, etc)",Neutral,Listening,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:21:41,Desarrollo de Software,Rara vez,"Presentaciones (power point, canva, etc)",Útil,Ninguna,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:23:48,Desarrollo de Software,Rara vez,"Presentaciones (power point, canva, etc)",Neutral,Speaking,"No, las presentaciones no suelen ser de mucha ayuda",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No noto la diferencia.,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:24:12,Desarrollo de Software,Rara vez,Videos educativos / Enlaces interactivos,Útil,Speaking,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:24:18,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Speaking,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:24:25,Mercadotecnía,Rara vez,"Presentaciones (power point, canva, etc)",Neutral,Writing,"Si, es un buen apoyo durante la clase",Infografías y esquemas visuales,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:24:51,Educación,Nunca,"Presentaciones (power point, canva, etc)",Nada útil,"Grammar, Speaking, Listening, Writing, Reading","No, las presentaciones no suelen ser de mucha ayuda",Ejercicios prácticos estructurados (Guías escritas),Totalmente en desacuerdo,No noto la diferencia.,No lo considero necesario
7/7/2026 12:25:11,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,Speaking,De vez en cuando me resultan utiles,Videos cortos explicativos,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:25:31,Desarrollo de Software,Rara vez,"Presentaciones (power point, canva, etc)",Poco útil,"Speaking, ","No, las presentaciones no suelen ser de mucha ayuda",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:25:48,Desarrollo de Software,Rara vez,"Presentaciones (power point, canva, etc)",Neutral,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:25:50,Desarrollo de Software,Algunas veces,Videos educativos / Enlaces interactivos,Útil,"Grammar, Writing","Si, es un buen apoyo durante la clase",Videos cortos explicativos,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:26:11,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening","Si, es un buen apoyo durante la clase",Videos cortos explicativos,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:26:13,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,Reading,"Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:26:31,Desarrollo de Software,Nunca,"Presentaciones (power point, canva, etc)",Neutral,ninguna ,"Si, es un buen apoyo durante la clase",Infografías y esquemas visuales,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:27:54,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening, Writing","Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:28:13,Procesos Industriales,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening","Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:28:58,Mercadotecnía,Siempre,"Presentaciones (power point, canva, etc)",Útil,Grammar,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
